objectid,format,filename,title,description,latitude,longitude,source,identifier,type,language,rights,rightsstatement,youtubeid,vimeoid,creator,date,subject,location
coll001,image/jpeg,image 001,Via Goito,"Equivalent to ""description"" column from Google Maps",45.137203216552734,10.019463539123535,,,,,,,,,,,,
coll002,image/jpeg,image 002,Via Alessandro Manzoni,,45.13656234741211,10.023452758789062,,,,,,,,,,,,
